subject_id,motion_type,damping_level,trial_index,cycle_index,completion_percentage,cycle_number,ch1_rms_min,ch1_rms_min_pct_change,ch2_rms_min,ch2_rms_min_pct_change,ch1_rms_max,ch1_rms_max_pct_change,ch2_rms_max,ch2_rms_max_pct_change,ch1_total_power_min,ch1_total_power_min_pct_change,ch2_total_power_min,ch2_total_power_min_pct_change,ch1_total_power_max,ch1_total_power_max_pct_change,ch2_total_power_max,ch2_total_power_max_pct_change,ch1_mean_power_freq_min,ch1_mean_power_freq_min_pct_change,ch2_mean_power_freq_min,ch2_mean_power_freq_min_pct_change,ch1_mean_power_freq_max,ch1_mean_power_freq_max_pct_change,ch2_mean_power_freq_max,ch2_mean_power_freq_max_pct_change,ch1_median_power_freq_min,ch1_median_power_freq_min_pct_change,ch2_median_power_freq_min,ch2_median_power_freq_min_pct_change,ch1_median_power_freq_max,ch1_median_power_freq_max_pct_change,ch2_median_power_freq_max,ch2_median_power_freq_max_pct_change
8,1,1,1,0,0.0,0,0.032550101839916974,0.0,0.023094431702378793,0.0,0.10169697413971483,0.0,0.050747667792686926,0.0,0.00025270352696066516,0.0,0.00013529489722693456,0.0,0.00282946682838594,0.0,0.0007304087075985298,0.0,63.0454915956781,0.0,78.08306807006983,0.0,72.14933624831752,0.0,96.45713259621965,0.0,50.78125,0.0,62.5,0.0,66.40625,0.0,85.9375,0.0
8,1,1,1,1,3.125,1,0.03791107263772232,16.46990483830395,0.012922023898660262,-44.047015032938624,0.10285752695341932,1.1411871626682621,0.048338934248004777,-4.7464911186110985,0.00038517172790843455,52.420400514785406,4.298855715231718e-05,-68.22603214649621,0.0025358398133988372,-10.377468010628743,0.0006160503676452845,-15.65676021706227,53.25139184628534,-15.5349724484727,89.30738832490168,14.374845318269797,68.888015698806,-4.520236386218419,101.12904317157178,4.843509701775264,39.0625,-23.076923076923077,74.21875,18.75,62.5,-5.88235294117647,93.75,9.090909090909092
8,1,1,1,2,6.25,2,0.029633482970481056,-8.960398599611134,0.018273391287363425,-20.87533686537429,0.11631854616566159,14.377588074409308,0.05191355731453354,2.2974248326237827,0.00015549008789159918,-38.469363779080865,8.639245951180474e-05,-36.14507177835699,0.0037544401530475316,32.69072870485779,0.0007165468783365047,-1.8978181828637524,56.68818406859249,-10.083683013935632,88.02412015351523,12.731379963866871,68.66156232990078,-4.834103956844207,101.66767884954312,5.4019294510188285,39.0625,-23.076923076923077,66.40625,6.25,58.59375,-11.76470588235294,93.75,9.090909090909092
8,1,1,1,3,9.375,3,0.037224301291547406,14.360014830731952,0.016459900797573267,-28.72783790614839,0.10940661038976063,7.580988830064923,0.051900021956197695,2.270752950102725,0.0003125385472658798,23.677952193571215,5.9742692069291115e-05,-55.84261247555942,0.0032163177709217047,13.672220457040762,0.0007616003576859086,4.270437874424053,57.38844488353835,-8.972959951552752,85.27782085732422,9.214229108925373,67.95316843702494,-5.815947906784014,94.72478520711401,-1.7959764534546563,46.875,-7.6923076923076925,70.3125,12.5,66.40625,0.0,89.84375,4.545454545454546
8,1,1,1,4,12.5,4,0.028162568163749034,-13.479323959556408,0.015581148305062322,-32.53287846239828,0.12002486373769812,18.02205990200239,0.06880671866023046,35.58597203189298,0.0001408351447999375,-44.26862715617762,5.901917304410054e-05,-56.37738432580666,0.00383243743454825,35.447335734784055,0.0013123609888031126,79.67488272667934,62.309446911426264,-1.1674818700315988,83.75811889069601,7.267965976354223,71.42560021377197,-1.0031083751826335,101.11072974841767,4.824523627172804,54.6875,7.6923076923076925,66.40625,6.25,62.5,-5.88235294117647,93.75,9.090909090909092
8,1,1,1,5,15.625,5,0.04053281473195493,24.524386840008468,0.012442545161930694,-46.12318102354917,0.13993701460489583,37.60194517945588,0.05796098427329055,14.21408469463322,0.000369546956836073,46.237356193922544,4.212081687275716e-05,-68.8674017009625,0.0049588633737085355,75.25787275397404,0.0009246015107729054,26.586868578395144,54.73488349974873,-13.181922902951998,83.27503294244545,6.649283898164042,72.07814303693173,-0.09867479742400263,97.57003705619196,1.1537814052912558,42.96875,-15.384615384615385,66.40625,6.25,66.40625,0.0,82.03125,-4.545454545454546
8,1,1,1,6,18.75,6,0.04440799223681505,36.42965682631584,0.018178910442854322,-21.284443466163133,0.12153340205072428,19.505425878018237,0.06512761723714569,28.33617793669527,0.00047438803833819824,87.72513547546949,8.818264942195667e-05,-34.82189555601271,0.0040567735400505785,43.375900341081284,0.001131313182788363,54.88769109940442,58.983401832838815,-6.4431090313169195,80.26220668841982,2.7907953314468763,72.4829507549163,0.4623944223832795,95.7899998031974,-0.6916365592319025,50.78125,0.0,66.40625,6.25,66.40625,0.0,82.03125,-4.545454545454546
8,1,1,1,7,21.875,7,0.026429192361847785,-18.804578579115137,0.013432067839182308,-41.83850023987053,0.1474877456497814,45.026680387911654,0.06588358122743897,29.825830610748234,0.00014552252608338907,-42.41373366108953,5.0533967980860234e-05,-62.64902149554247,0.005188651243592385,83.37911551174587,0.0011197612748123707,53.306123429712606,54.28710607650664,-13.892167857680512,82.9921073499158,6.286944661857702,68.67523884203315,-4.815148117686787,92.19325004172298,-4.420494824727752,39.0625,-23.076923076923077,66.40625,6.25,62.5,-5.88235294117647,78.125,-9.090909090909092
8,1,1,1,8,25.0,8,0.0369358744366707,13.473913594259013,0.02055829167936173,-10.981608275538703,0.12203334668857167,19.997028152399132,0.08451256398534639,66.53487275631059,0.0002837313674460744,12.278356720458001,0.00010807299747028495,-20.12041866663266,0.004183657814064991,47.86028845058223,0.0019283416282054222,164.00857604032538,53.870598137603885,-14.552814524652186,84.24200460807438,7.887672308774644,69.70304584752354,-3.3905930781879228,96.58922721048107,0.13694644523011257,42.96875,-15.384615384615385,70.3125,12.5,62.5,-5.88235294117647,82.03125,-4.545454545454546
8,1,1,1,9,28.125,9,0.03678529314376734,13.011299702468673,0.025708376644599674,11.318507317725587,0.13360812084197032,31.378658974076114,0.0945809754820363,86.37501898297293,0.00026981504806212076,6.771381985546688,0.0001659760740327807,22.67726088322724,0.0048171861853818585,70.2506683257286,0.0022952654940125725,214.24399382628505,56.25269562335148,-10.774435729504697,84.8493525566572,8.665495162812338,68.64907590816682,-4.851410313885357,96.18949583325654,-0.27746705273052724,46.875,-7.6923076923076925,66.40625,6.25,62.5,-5.88235294117647,85.9375,0.0
8,1,1,1,10,31.25,10,0.0335038400889442,2.930062258231195,0.01647592939896265,-28.65843329123538,0.13846825739531593,36.157696496538264,0.06578606556174117,29.63367268519358,0.00025867053121204697,2.361266707730045,6.965299392626912e-05,-48.51764896244544,0.005546976680647345,96.04317764034718,0.001217086591541763,66.63089841074793,48.48734806643308,-23.091490225199564,84.28434291834338,7.941894448497701,66.77504104622878,-7.44884912536402,95.79408031546461,-0.6874061698792667,39.0625,-23.076923076923077,70.3125,12.5,62.5,-5.88235294117647,82.03125,-4.545454545454546
8,1,1,1,11,34.375,11,0.03313876680263349,1.8084888508539758,0.01477585092312809,-36.01985485702108,0.11746992698303502,15.509756289946989,0.06362394005940347,25.373131075339984,0.0002675669345967662,5.88175709886891,5.916183264673782e-05,-56.271940879260406,0.0033606946411527936,18.774837981397756,0.0011341203253737156,55.272016006288695,52.717828004357365,-16.381288066645386,79.12769649487224,1.3378424421860415,66.57109487714092,-7.731521398863435,89.89421676736104,-6.803971517929843,39.0625,-23.076923076923077,58.59375,-6.25,58.59375,-11.76470588235294,78.125,-9.090909090909092
8,1,1,1,12,37.5,12,0.024720306932431258,-24.054594194491425,0.014122486441689862,-38.84895448527012,0.1189945376817485,17.00892645858831,0.0618121760553626,21.802988676989294,0.00013513922952307898,-46.52261836293475,5.1290933685215486e-05,-62.0895283292292,0.003746210065166552,32.39985807868847,0.0009674894997819367,32.45864811262884,57.758804724380944,-8.385511378357736,85.20384697601273,9.119491692556043,69.59544795188243,-3.5397252826350782,91.7700234071718,-4.859266560067267,46.875,-7.6923076923076925,66.40625,6.25,62.5,-5.88235294117647,78.125,-9.090909090909092
8,1,1,1,13,40.625,13,0.030987271029635215,-4.801308511929823,0.015430396296190982,-33.18564191124215,0.10214187068825951,0.43747274912375245,0.06524978894245412,28.576921424272903,0.00022356195383383637,-11.531921804702334,5.916250734131691e-05,-56.2714421948363,0.0028353461428683785,0.20778877573173357,0.0011477297426596257,57.13527655402447,55.93187437162193,-11.283308360377388,84.25397429069164,7.903001730265256,69.34369478469527,-3.8886587313375,96.54525983357533,0.09136414797295371,42.96875,-15.384615384615385,66.40625,6.25,62.5,-5.88235294117647,89.84375,4.545454545454546
8,1,1,1,14,43.75,14,0.029437936368041952,-9.561154331193206,0.013604508766581347,-41.091822730671296,0.11584875274213774,13.9156338938666,0.08309030604768317,63.73226526807411,0.00023396930734653613,-7.413517270396122,4.801687612595509e-05,-64.50946997253354,0.0038895763172803023,37.46675798631287,0.0017493843205987273,139.5075938169509,52.475217675632244,-16.766105953832344,80.05949505642543,2.531185102232418,67.86417728764211,-5.939290897877587,96.44672493893246,-0.01078993020739749,39.0625,-23.076923076923077,54.6875,-12.5,62.5,-5.88235294117647,89.84375,4.545454545454546
8,1,1,1,15,46.875,15,0.035647202973258456,9.514873866057869,0.021350760503704182,-7.5501801522789025,0.12137392137404678,19.348606387540173,0.08277282368663536,63.10665551129714,0.00033106538573125885,31.009404464224666,0.0001238619890359173,-8.450361710124564,0.003691014965944307,30.4491336995046,0.0018083350122101867,147.57851233122767,56.940651522902954,-9.683230185477127,79.59429719908707,1.935412076355783,66.04191985037136,-8.464965466800935,89.01980158926563,-7.710503937627427,50.78125,0.0,70.3125,12.5,62.5,-5.88235294117647,78.125,-9.090909090909092
8,1,1,1,16,50.0,16,0.031424755747753864,-3.457273644480801,0.015217583872754377,-34.10712993995465,0.11407690076789538,12.173348059670463,0.07948660328042284,56.63104678059192,0.00024196050572540277,-4.251235178421001,5.741071303162136e-05,-57.566239223845606,0.0035036724411582217,23.828009079607423,0.001746807667266287,139.15482511284935,55.84155389889602,-11.426570741936969,85.200023680128,9.114595245760054,69.13145401323126,-4.182827440989295,95.0222073079539,-1.487630048337123,46.875,-7.6923076923076925,66.40625,6.25,66.40625,0.0,82.03125,-4.545454545454546
8,1,1,1,17,53.125,17,0.035334249137089095,8.553421156298361,0.013990332045520215,-39.42118937666186,0.1304613507948106,28.284397739875995,0.0680399165667683,34.07496250807669,0.00022379730460207577,-11.438788649391833,4.524667829932106e-05,-66.55699569849457,0.004402800354218921,55.60530026536781,0.0012393987816700226,69.6856525362318,54.2998700797133,-13.871922154326304,81.13996623108622,3.9149309018867013,65.91989318938651,-8.634096143990899,92.46485593783962,-4.1389128527095576,46.875,-7.6923076923076925,66.40625,6.25,58.59375,-11.76470588235294,82.03125,-4.545454545454546
8,1,1,1,18,56.25,18,0.036015098712898506,10.645118377885758,0.014031203374448244,-39.24421455669338,0.11276091251888108,10.879319146670213,0.05326424357862342,4.958997911425501,0.00024209904342701054,-4.196412951254644,4.5643050827335515e-05,-66.2640263876494,0.0033736145177129077,19.231456748951363,0.0008602449401859931,17.775833069452947,55.71982843165597,-11.619646351562942,84.26186675779579,7.913109513295835,61.7592903220503,-14.400750535677334,94.57595413200546,-1.9502740892050057,42.96875,-15.384615384615385,70.3125,12.5,58.59375,-11.76470588235294,85.9375,0.0
8,1,1,1,19,59.375,19,0.026004447728964,-20.10947352221762,0.019339220558943472,-16.260244858281244,0.11753126253387415,15.57006836054495,0.07835342629605735,54.39808311220283,0.0001662677170021214,-34.20443355030736,8.415196501060821e-05,-37.80107991104989,0.003865177116397283,36.60443294902173,0.0015609007473007437,113.70237389868237,54.600754261504434,-13.394672831375892,82.07812089586331,5.1164137431285575,62.45293060902655,-13.439355292082936,93.75947086558756,-2.7967467599568874,42.96875,-15.384615384615385,66.40625,6.25,62.5,-5.88235294117647,85.9375,0.0
8,1,1,1,20,62.5,20,0.031693395348138136,-2.63196255419465,0.015695050802853987,-32.039675168809836,0.12005382157762556,18.050534534775302,0.08698684335580932,71.4105241469731,0.0002148144735195169,-14.993480263948161,5.791726716025077e-05,-57.191831807888335,0.003935362251297903,39.08494037877863,0.00230161256555317,215.1129691649644,52.22958113523838,-17.155723885546127,82.21966224976798,5.297683969059812,66.29529168689291,-8.113788519518263,93.71490697801421,-2.8429474776994477,39.0625,-23.076923076923077,66.40625,6.25,58.59375,-11.76470588235294,89.84375,4.545454545454546
